tarih,varlik,varlik_adi,kapanis_t-3,kapanis_t-2,kapanis_t-1,kapanis_t0,kapanis_t+1,kapanis_t+2,kapanis_t+3,degisim_birimi,tepki_0g,tepki_3g,tepki_0g_yuzde,tonlama_skoru
2025-06-18,^TNX,10 Yıllık Hazine Getirisi,4.423999786376953,4.452000141143799,4.39300012588501,4.396999835968018,4.375,4.320000171661377,4.293000221252441,baz_puan,0.39997100830078125,-9.999990463256836,0.09104734733423288,3.4246575342465753
2025-07-30,^TNX,10 Yıllık Hazine Getirisi,4.386000156402588,4.420000076293945,4.329999923706055,4.375999927520752,4.360000133514404,4.21999979019165,4.199999809265137,baz_puan,4.600000381469727,-13.000011444091797,1.0623557650164062,-3.115264797507788
2025-09-17,^TNX,10 Yıllık Hazine Getirisi,4.060999870300293,4.033999919891357,4.026000022888184,4.076000213623047,4.104000091552734,4.138999938964844,4.14300012588501,baz_puan,5.000019073486328,11.700010299682617,1.2419322019524976,-9.09090909090909
2025-10-29,^TNX,10 Yıllık Hazine Getirisi,3.996999979019165,3.996999979019165,3.9830000400543213,4.058000087738037,4.0929999351501465,4.10099983215332,4.105999946594238,baz_puan,7.500004768371582,12.2999906539917,1.883003939982209,-8.356545961002785
2025-12-10,^TNX,10 Yıllık Hazine Getirisi,4.138999938964844,4.171999931335449,4.185999870300293,4.164000034332275,4.140999794006348,4.193999767303467,4.182000160217285,baz_puan,-2.199983596801758,-0.39997100830078125,-0.5255574928252296,-13.123359580052494
2026-01-28,^TNX,10 Yıllık Hazine Getirisi,4.238999843597412,4.2129998207092285,4.2230000495910645,4.250999927520752,4.2270002365112305,4.241000175476074,4.275000095367432,baz_puan,2.79998779296875,5.200004577636719,0.663032858178604,0.0
2026-03-18,^TNX,10 Yıllık Hazine Getirisi,4.284999847412109,4.21999979019165,4.202000141143799,4.258999824523926,4.281000137329102,4.390999794006348,4.334000110626221,baz_puan,5.699968338012695,13.199996948242188,1.3564893256907755,0.0
2026-04-29,^TNX,10 Yıllık Hazine Getirisi,4.309999942779541,4.335999965667725,4.354000091552734,4.418000221252441,4.389999866485596,4.377999782562256,4.446000099182129,baz_puan,6.400012969970703,9.200000762939453,1.4699156718869784,0.0
2026-06-17,^TNX,10 Yıllık Hazine Getirisi,4.486999988555908,4.468999862670898,4.427999973297119,4.4629998207092285,4.451000213623047,4.508999824523926,4.493000030517578,baz_puan,3.4999847412109375,6.500005722045898,0.7904211297013232,-8.0
2026-07-29,^TNX,10 Yıllık Hazine Getirisi,4.678999900817871,4.640999794006348,4.604000091552734,4.622000217437744,4.663000106811523,4.744999885559082,,baz_puan,1.8000125885009766,,0.3909671052795111,0.0
2025-06-18,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),4.02400016784668,4.034999847412109,3.989000082015991,3.993000030517578,3.9609999656677246,3.884000062942505,3.8559999465942383,baz_puan,0.3999948501586914,-13.300013542175293,0.100274465263119,3.4246575342465753
2025-07-30,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.9519999027252197,3.9769999980926514,3.9059998989105225,3.9649999141693115,3.9600000381469727,3.7709999084472656,3.743000030517578,baz_puan,5.900001525878906,-16.299986839294434,1.5104971015295108,-3.115264797507788
2025-09-17,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.625,3.6019999980926514,3.5829999446868896,3.6489999294281006,3.6630001068115234,3.690999984741211,3.696000099182129,baz_puan,6.599998474121094,11.300015449523926,1.842031419483556,-9.09090909090909
2025-10-29,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.6019999980926514,3.614000082015991,3.61299991607666,3.697000026702881,3.7200000286102295,3.7170000076293945,3.7149999141693115,baz_puan,8.40001106262207,10.199999809265137,2.324940840780202,-8.356545961002785
2025-12-10,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.7149999141693115,3.753000020980835,3.7799999713897705,3.756999969482422,3.7149999141693115,3.750999927520752,3.7330000400543213,baz_puan,-2.3000001907348633,-4.699993133544922,-0.6084656635299486,-13.123359580052494
2026-01-28,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.8389999866485596,3.818000078201294,3.813999891281128,3.8420000076293945,3.805000066757202,3.796999931335449,3.8350000381469727,baz_puan,2.80001163482666,2.1000146865844727,0.7341404600528534,0.0
2026-03-18,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.874000072479248,3.802999973297119,3.7860000133514404,3.861999988555908,3.9189999103546143,4.01200008392334,3.950000047683716,baz_puan,7.599997520446777,16.40000343322754,2.0073950062454204,0.0
2026-04-29,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),3.9200000762939453,3.947000026702881,3.9830000400543213,4.065000057220459,4.0229997634887695,4.020999908447266,4.0929999351501465,baz_puan,8.20000171661377,10.99998950958252,2.0587500964478864,0.0
2026-06-17,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),4.2129998207092285,4.188000202178955,4.151000022888184,4.229000091552734,4.224999904632568,4.2870001792907715,4.261000156402588,baz_puan,7.800006866455078,11.00001335144043,1.8790669292812936,-8.0
2026-07-29,^FVX,5 Yıllık Hazine Getirisi (kısa/orta vade proxy),4.426000118255615,4.396999835968018,4.361000061035156,4.3520002365112305,4.375,4.460000038146973,,baz_puan,-0.8999824523925781,,-0.20637065805932417,0.0
2025-06-18,DX-Y.NYB,Dolar Endeksi (DXY),98.18000030517578,98.0,98.81999969482422,98.91000366210938,98.70999908447266,98.41999816894531,97.86000061035156,yuzde,0.09107869617800686,-0.9714623430857358,0.09107869617800686,3.4246575342465753
2025-07-30,DX-Y.NYB,Dolar Endeksi (DXY),97.6500015258789,98.66000366210938,98.91000366210938,99.94000244140625,100.02999877929688,98.69000244140625,98.77999877929688,yuzde,1.0413494501683542,-0.13143754726429407,1.0413494501683542,-3.115264797507788
2025-09-17,DX-Y.NYB,Dolar Endeksi (DXY),97.55000305175781,97.30000305175781,96.62999725341797,96.87000274658203,97.3499984741211,97.63999938964844,97.33000183105469,yuzde,0.24837576320594698,0.724417466142439,0.24837576320594698,-9.09090909090909
2025-10-29,DX-Y.NYB,Dolar Endeksi (DXY),98.94999694824219,98.77999877929688,98.69000244140625,99.22000122070312,99.52999877929688,99.80000305175781,99.87000274658203,yuzde,0.537033910412094,1.195663467407821,0.537033910412094,-8.356545961002785
2025-12-10,DX-Y.NYB,Dolar Endeksi (DXY),98.98999786376953,99.08999633789062,99.22000122070312,98.79000091552734,98.3499984741211,98.4000015258789,98.1500015258789,yuzde,-0.433380669104505,-1.0784112897198332,-0.433380669104505,-13.123359580052494
2026-01-28,DX-Y.NYB,Dolar Endeksi (DXY),97.5999984741211,97.04000091552734,96.22000122070312,96.44999694824219,96.27999877929688,96.98999786376953,97.61000061035156,yuzde,0.23903110020910662,1.4446054583393197,0.23903110020910662,0.0
2026-03-18,DX-Y.NYB,Dolar Endeksi (DXY),100.36000061035156,99.70999908447266,99.58000183105469,100.08999633789062,99.2300033569336,99.6500015258789,98.94999694824219,yuzde,0.5121455085943696,-0.6326620518458644,0.5121455085943696,0.0
2026-04-29,DX-Y.NYB,Dolar Endeksi (DXY),98.51000213623047,98.4800033569336,98.62000274658203,98.91999816894531,98.08000183105469,98.20999908447266,98.47000122070312,yuzde,0.30419328129016754,-0.15210050872170047,0.30419328129016754,0.0
2026-06-17,DX-Y.NYB,Dolar Endeksi (DXY),99.75,99.62999725341797,99.54000091552734,100.08999633789062,100.8499984741211,101.0199966430664,101.41000366210938,yuzde,0.5525370879090347,1.878644494055181,0.5525370879090347,-8.0
2026-07-29,DX-Y.NYB,Dolar Endeksi (DXY),101.47000122070312,101.51000213623047,101.37999725341797,100.80000305175781,100.01000213623047,99.80000305175781,,yuzde,-0.5720992477543217,,-0.5720992477543217,0.0
2025-06-18,^GSPC,S&P 500,5976.97021484375,6033.10986328125,5982.72021484375,5980.8701171875,5967.83984375,6025.169921875,6092.18017578125,yuzde,-0.03092402101070539,1.829601870164653,-0.03092402101070539,3.4246575342465753
2025-07-30,^GSPC,S&P 500,6388.64013671875,6389.77001953125,6370.85986328125,6362.89990234375,6339.39013671875,6238.009765625,6329.93994140625,yuzde,-0.12494327466497275,-0.6422982572704807,-0.12494327466497275,-3.115264797507788
2025-09-17,^GSPC,S&P 500,6584.2900390625,6615.27978515625,6606.759765625,6600.35009765625,6631.9599609375,6664.35986328125,6693.75,yuzde,-0.097016816051032,1.3166852959844335,-0.097016816051032,-9.09090909090909
2025-10-29,^GSPC,S&P 500,6791.68994140625,6875.16015625,6890.89013671875,6890.58984375,6822.33984375,6840.2001953125,6851.97021484375,yuzde,-0.004357825517342977,-0.5648025306282504,-0.004357825517342977,-8.356545961002785
2025-12-10,^GSPC,S&P 500,6870.39990234375,6846.509765625,6840.509765625,6886.68017578125,6901.0,6827.41015625,6816.509765625,yuzde,0.6749556939201522,-0.35085104505814824,0.6749556939201522,-13.123359580052494
2026-01-28,^GSPC,S&P 500,6915.60986328125,6950.22998046875,6978.60009765625,6978.02978515625,6969.009765625,6939.02978515625,6976.43994140625,yuzde,-0.008172305219087399,-0.030954005384625553,-0.008172305219087399,0.0
2026-03-18,^GSPC,S&P 500,6632.18994140625,6699.3798828125,6716.08984375,6624.7001953125,6606.490234375,6506.47998046875,6581.0,yuzde,-1.3607567880073448,-2.01143592317656,-1.3607567880073448,0.0
2026-04-29,^GSPC,S&P 500,7165.080078125,7173.91015625,7138.7998046875,7135.9501953125,7209.009765625,7230.1201171875,7200.75,yuzde,-0.0399172053141045,0.8677956660420996,-0.0399172053141045,0.0
